"date","c","w","y","cay"
1968-04-01,9.5754630369,11.3862012077,9.4448418451,-0.0296262239
1968-07-01,9.5913157706,11.3919090995,9.4466588391,-0.0164726639
1968-10-01,9.5931582734,11.4258091325,9.453586972,-0.0275663503
1969-01-01,9.6021235632,11.418597719,9.4540394674,-0.0173922222
1969-04-01,9.6062470391,11.4061160979,9.4624119446,-0.0172557558
1969-07-01,9.6083035026,11.3977221552,9.4816485149,-0.0287794845
1969-10-01,9.6133142402,11.3874331832,9.487674268,-0.0263537082
1970-01-01,9.6170145829,11.3809718727,9.4952234026,-0.0272926211
1970-04-01,9.6184789021,11.3523972525,9.5067296739,-0.0288190676
1970-07-01,9.6237730178,11.3752908316,9.5137818797,-0.0341623195
1970-10-01,9.617625924,11.387052117,9.5067510844,-0.0372401825
1971-01-01,9.6335337157,11.4156367093,9.5242289729,-0.0415611117
1971-04-01,9.6398108918,11.4221987569,9.5379265934,-0.0476860148
1971-07-01,9.6446676353,11.4251794715,9.5393063729,-0.0445839936
1971-10-01,9.6580498216,11.4408457605,9.5472660731,-0.0409913471
1972-01-01,9.6687516974,11.4637353234,9.5534217247,-0.040207793
1972-04-01,9.685275411,11.4731534767,9.5623805181,-0.0329125142
1972-07-01,9.6979578242,11.4882709136,9.5714703931,-0.0308053599
1972-10-01,9.7185145258,11.5275948375,9.6050180577,-0.0456898299
1973-01-01,9.7344611217,11.5176818492,9.6129936822,-0.033972033
1973-04-01,9.7317895469,11.5072547476,9.6153237097,-0.0362380677
1973-07-01,9.7327954169,11.5218311493,9.6139779843,-0.0373302933
1973-10-01,9.7273934829,11.4906872456,9.6164784533,-0.0379492102
1974-01-01,9.7163252644,11.4642879136,9.6027770875,-0.0322899817
1974-04-01,9.7177769475,11.4336927131,9.5993404374,-0.0214190014
1974-07-01,9.7195229377,11.3962071807,9.5981920653,-0.0105853618
1974-10-01,9.7022356264,11.3941188447,9.5931829162,-0.0234051416
1975-01-01,9.7085403853,11.4203991927,9.5902890612,-0.0205085588
1975-04-01,9.722451935,11.4501047113,9.6357075392,-0.0494513477
1975-07-01,9.7336070282,11.4272276919,9.6186424492,-0.0196418288
1975-10-01,9.7417337602,11.4356656911,9.6247142567,-0.0182173893
1976-01-01,9.7593862865,11.455613999,9.6373628942,-0.0150434174
1976-04-01,9.7664423998,11.4761608458,9.6397672633,-0.0143902618
1976-07-01,9.7743147336,11.4764782913,9.6450420483,-0.0108123816
1976-10-01,9.7845586866,11.4829354655,9.6484211935,-0.0046822015
1977-01-01,9.7939829748,11.4790491127,9.6481067839,0.0058407414
1977-04-01,9.7969611912,11.4880437281,9.6561013612,0.0004551784
1977-07-01,9.8035926206,11.4903008812,9.6678582845,-0.0028229076
1977-10-01,9.8156516379,11.4948761035,9.6772555186,0.0007117002
1978-01-01,9.818915891,11.5000498164,9.6823090646,-0.0011994177
1978-04-01,9.8375531622,11.5124105525,9.6901744416,0.0084441204
1978-07-01,9.8387913494,11.5239366534,9.696317369,0.0022501757
1978-10-01,9.8439340774,11.5246595296,9.7008589076,0.003597466
1979-01-01,9.8465604554,11.5410513146,9.7077420704,-0.0028614314
1979-04-01,9.8432813559,11.5451882491,9.6978396026,0.000890287
1979-07-01,9.8499624733,11.5502923344,9.7019444904,0.0031711126
1979-10-01,9.8493436386,11.5540159984,9.6987466645,0.0043024938
1980-01-01,9.8451069652,11.5417994065,9.6987804757,0.0027006231
1980-04-01,9.8195053083,11.5538447735,9.6882743853,-0.0171098706
1980-07-01,9.8274632489,11.5674196515,9.6961075526,-0.0183844128
1980-10-01,9.8381699737,11.570683582,9.6986800186,-0.0104495035
1981-01-01,9.8394590536,11.5613422242,9.6919951797,-0.0017702379
1981-04-01,9.8372573071,11.5710057122,9.6895754106,-0.0041392538
1981-07-01,9.8391678441,11.5611246601,9.6989023604,-0.0075469325
1981-10-01,9.8296626043,11.5700005954,9.6975362743,-0.0178918775
1982-01-01,9.8349088885,11.5677560045,9.6970350123,-0.0117549888
1982-04-01,9.8357422667,11.5687549161,9.6983745127,-0.0122122506
1982-07-01,9.8398509747,11.5700878158,9.7030217821,-0.012116593
1982-10-01,9.8547569791,11.5826037954,9.7031791612,-6.37752e-05
1983-01-01,9.8625731804,11.600687804,9.7083563391,-0.0003350167
1983-04-01,9.8806485243,11.6140642591,9.715532098,0.0090776858
1983-07-01,9.8959704099,11.6113841199,9.7230657381,0.0189488438
1983-10-01,9.9094475603,11.6085543389,9.7388844194,0.0203712679
1984-01-01,9.9158090104,11.615309738,9.7493688835,0.0168623585
1984-04-01,9.9276810181,11.6212672014,9.7591935863,0.0195663615
1984-07-01,9.9326338679,11.6357616635,9.7661344102,0.0158011573
1984-10-01,9.9431034854,11.6454214247,9.774863361,0.0171738076
1985-01-01,9.9580750546,11.660508949,9.7695235304,0.0331353284
1985-04-01,9.9651142267,11.6743927004,9.7893116908,0.0212983544
1985-07-01,9.9813299269,11.6777155492,9.7877922457,0.0380071635
1985-10-01,9.9810153321,11.6987526386,9.7960811434,0.0264690807
1986-01-01,9.9877229463,11.7208460735,9.8054972857,0.0208200767
1986-04-01,9.996446407,11.7453000077,9.8156043316,0.0161191498
1986-07-01,10.0115414427,11.7485537851,9.8215511765,0.0257415882
1986-10-01,10.0152257667,11.7720633484,9.8263602741,0.0204511343
1987-01-01,10.0142932631,11.7955518569,9.8339637148,0.008310075
1987-04-01,10.025734775,11.8024926081,9.8238299967,0.0263567175
1987-07-01,10.0346152402,11.813399364,9.8359329091,0.0231658465
1987-10-01,10.0342512544,11.7977635995,9.8455005141,0.0185447723
1988-01-01,10.0497948523,11.8142404852,9.8550230212,0.0228703463
1988-04-01,10.0550397045,11.8265837386,9.8654748753,0.0170534172
1988-07-01,10.0612822388,11.8282643186,9.8682377402,0.0207166177
1988-10-01,10.0701265864,11.8398397039,9.8744723729,0.0220446356
1989-01-01,10.0727225556,11.8463342547,9.8761066364,0.0219163985
1989-04-01,10.0751413198,11.8536766138,9.8707646136,0.027014473
1989-07-01,10.0820136923,11.8705729982,9.8762862975,0.0257822142
1989-10-01,10.0836447671,11.8770898018,9.8838239604,0.0199554069
1990-01-01,10.0897359609,11.8639369857,9.8911737692,0.0230250315
1990-04-01,10.0896799192,11.8655286397,9.8978476344,0.0172761858
1990-07-01,10.0901131217,11.8422461623,9.8931567949,0.0265399573
1990-10-01,10.0789190207,11.8438620966,9.8837650342,0.0225168835
1991-01-01,10.0720994306,11.859137241,9.887563508,0.0093262667
1991-04-01,10.0771349349,11.8548975167,9.8940795888,0.0100659633
1991-07-01,10.0785511866,11.8563865428,9.896634615,0.0091111052
1991-10-01,10.0746331562,11.8702475644,9.905078893,-0.0045912769
1992-01-01,10.0902704897,11.8631390407,9.9253244989,-0.0036224895
1992-04-01,10.0936850013,11.8585718088,9.9318175827,-0.0044140032
1992-07-01,10.1006514245,11.864085631,9.9329794086,0.0004203445
1992-10-01,10.1090665188,11.8764059974,9.9343322036,0.0050673051
1993-01-01,10.1099465931,11.8782690801,9.932419175,0.0070738324
1993-04-01,10.1159483842,11.879808968,9.9336331118,0.0117676902
1993-07-01,10.1236017328,11.8892198806,9.9343499112,0.0167963037
1993-10-01,10.129176185,11.8959440775,9.9374186136,0.0184474766
1994-01-01,10.1378554437,11.8923662849,9.938028271,0.0274179478
1994-04-01,10.1426801842,11.8926275943,9.9450214521,0.0265839715
1994-07-01,10.1470389499,11.8971208862,9.9452216695,0.0298033079
1994-10-01,10.1547293956,11.8965957944,9.9539727147,0.0305982768
1995-01-01,10.1545434601,11.9063092179,9.9597136464,0.023697188
1995-04-01,10.160440492,11.9195155437,9.9584002289,0.0277687719
1995-07-01,10.1662510031,11.9362665039,9.9623610092,0.0267566761
1995-10-01,10.1701281233,11.9519434192,9.9613158031,0.0280551823
1996-01-01,10.1768018988,11.9617631044,9.9670925453,0.0279619657
1996-04-01,10.1846687388,11.9679205799,9.9721529103,0.0304336193
1996-07-01,10.1874777763,11.9721037573,9.9761126227,0.0291593133
1996-10-01,10.1921895613,11.98588707,9.9763526278,0.0306755847
1997-01-01,10.200043017,11.9868712165,9.9835555552,0.0325448099
1997-04-01,10.2016812613,12.0253521269,9.9895022472,0.0210349007
1997-07-01,10.215253952,12.0536679011,9.997059276,0.0223843951
1997-10-01,10.2240218378,12.0611032856,10.0088890513,0.0200561179
1998-01-01,10.2315335508,12.1031542364,10.0246289837,0.0057970734
1998-04-01,10.2462511605,12.1174736194,10.0343485174,0.0096089346
1998-07-01,10.2560926971,12.0947280629,10.0419055521,0.0183530795
1998-10-01,10.2674124634,12.1429054555,10.0500415957,0.0126581688
1999-01-01,10.2745250841,12.1461850924,10.0622654045,0.0092644926
1999-04-01,10.2862832854,12.1660925098,10.0625451499,0.0164609591
1999-07-01,10.2943086765,12.1564607623,10.0674339889,0.0226688932
1999-10-01,10.3058680993,12.210946575,10.0794423503,0.0127372301
2000-01-01,10.3185798824,12.2279399432,10.0974410921,0.0073286953
2000-04-01,10.3257123148,12.2161915979,10.1015546509,0.0137258848
2000-07-01,10.3327699146,12.2262495837,10.1112402856,0.010833411
2000-10-01,10.3386833211,12.2054888816,10.1106633133,0.0217325643
2001-01-01,10.34037847,12.1889322101,10.1206238982,0.0190564917
2001-04-01,10.3403958043,12.209699906,10.1170102562,0.0174433822
2001-07-01,10.3412132809,12.1850538636,10.1348787921,0.0093176972
2001-10-01,10.3535093548,12.216145487,10.1268088921,0.0213034519
2002-01-01,10.3543827548,12.224686425,10.1473986994,0.0038227104
2002-04-01,10.3572634514,12.2028057553,10.153899403,0.0062637218
2002-07-01,10.3619695171,12.1736713334,10.15296751,0.018064397
2002-10-01,10.3652511448,12.1924652862,10.1548863263,0.0157139517
2003-01-01,10.3678807807,12.1878617254,10.1532120574,0.0206878097
2003-04-01,10.3768191043,12.2269418552,10.1665327464,0.0104405888
2003-07-01,10.3888946957,12.2390153186,10.1807616983,0.0084875978
2003-10-01,10.3932723719,12.2717679603,10.1814714338,0.0051602424
2004-01-01,10.4001863204,12.3068564519,10.1822978565,0.0037667278
2004-04-01,10.404203921,12.3153599061,10.1918718835,-0.001737625
2004-07-01,10.4127167527,12.3320041034,10.1994965328,-0.0029590234
2004-10-01,10.4210525006,12.3636251171,10.1986474528,-0.0008330703
2005-01-01,10.4247377332,12.3698723473,10.1951933914,0.004257769
2005-04-01,10.4338805383,12.3889491069,10.1992687461,0.005979418
2005-07-01,10.4409993159,12.4034891262,10.2003730888,0.0090454383
2005-10-01,10.4414567948,12.4177722431,10.2010257863,0.0058679199
2006-01-01,10.450376877,12.4388811489,10.215744945,-0.0016019952
2006-04-01,10.453174219,12.4311684471,10.2114020164,0.0063547117
2006-07-01,10.4566432454,12.4369823268,10.2119562845,0.0081129576
2006-10-01,10.4637146178,12.4583778972,10.2248830965,0.0001676025
2007-01-01,10.4670936895,12.4604859429,10.2375887637,-0.0070903288
2007-04-01,10.4667023453,12.459917955,10.2312116154,-0.0022495972
2007-07-01,10.469730408,12.4595530433,10.2304004076,0.0015077819
2007-10-01,10.4700299692,12.436730486,10.231272936,0.0060812497
2008-01-01,10.465199454,12.3943162486,10.232083153,0.0098434074
2008-04-01,10.4646106682,12.3624172219,10.2607488318,-0.006757064
2008-07-01,10.4546535064,12.3151089236,10.2287698275,0.0192101188
2008-10-01,10.4429648246,12.2768244807,10.2396053343,0.0071836608
2009-01-01,10.4386948203,12.2574138517,10.2420003449,0.0052245734
2009-04-01,10.4325647547,12.2638723926,10.260634723,-0.0172395316
2009-07-01,10.437147097,12.2801760846,10.2490778517,-0.0069521652
2009-10-01,10.433351276,12.275600074,10.2463287504,-0.0075487891
2010-01-01,10.4362726138,12.2852609138,10.2468334104,-0.0071367124
2010-04-01,10.4423950455,12.2748323321,10.2590493795,-0.008527399
2010-07-01,10.4474183176,12.3036071429,10.2632335745,-0.0131255868
2010-10-01,10.4520356709,12.3215523145,10.2616862065,-0.0111788314
2011-01-01,10.45467583,12.3256015515,10.267183842,-0.013824761
2011-04-01,10.4552483699,12.3232153585,10.258741633,-0.0059697897
2011-07-01,10.4572011695,12.2898850324,10.2576121785,0.0041501232
2011-10-01,10.4571330391,12.3052411336,10.2498579743,0.0069474207
2012-01-01,10.4635422235,12.3254415837,10.2614622406,-0.0003403114
2012-04-01,10.4634174603,12.3227310984,10.2640749087,-0.0019673215
2012-07-01,10.4631418245,12.3471558299,10.2614522015,-0.0054640097
2012-10-01,10.4657075563,12.3526879483,10.2747440517,-0.0147509086
2013-01-01,10.4694468474,12.3840164651,10.2474087941,0.0040586637
2013-04-01,10.4686594686,12.3991957309,10.2526669635,-0.0042481174
2013-07-01,10.4707865329,12.4276545051,10.2522849075,-0.0080159264
2013-10-01,10.4774167343,12.4504885662,10.2548281795,-0.0083983124
2014-01-01,10.4797213536,12.4607200659,10.2648323883,-0.0163367627
2014-04-01,10.4889662202,12.4773241708,10.2700026195,-0.0148513167
2014-07-01,10.497662861,12.4795548206,10.2775335826,-0.0126732763
2014-10-01,10.5077323342,12.4988555576,10.290948813,-0.0175553251
2015-01-01,10.5144298598,12.5220358412,10.3052299945,-0.0273482968
2015-04-01,10.5207439161,12.5222551764,10.3096077089,-0.0245887322
2015-07-01,10.5263838806,12.5072298631,10.3135707905,-0.0188494511
2015-10-01,10.5289031023,12.5218042005,10.3185592672,-0.02350179
2016-01-01,10.5350734644,12.528913641,10.3239742182,-0.0232180745
2016-04-01,10.5406071218,12.5390022047,10.3219174855,-0.0182351113
2016-07-01,10.5451004448,12.5569190709,10.3241352647,-0.0194222318
2016-10-01,10.549501978,12.5607555081,10.3280943873,-0.0190280181
2017-01-01,10.5540585341,12.5757230599,10.3330303148,-0.0216866067
2017-04-01,10.5585956108,12.5909784811,10.3378338358,-0.0243213368
2017-07-01,10.5628289665,12.6069175649,10.343370311,-0.0279958735
2017-10-01,10.5726662125,12.62197945,10.347691904,-0.0249022235
2018-01-01,10.5757309265,12.6208666443,10.3606036747,-0.0319378136
2018-04-01,10.5843901948,12.6330737022,10.3643945647,-0.0289749884
2018-07-01,10.591508316,12.6478917201,10.3697120597,-0.0293450786
2018-10-01,10.5937480336,12.6051619518,10.3727236858,-0.0202073417
2019-01-01,10.5956038879,12.6508405395,10.3927603272,-0.0443544871
2019-04-01,10.6056768569,12.6621897479,10.393867819,-0.0376415487
2019-07-01,10.6120343768,12.6625904488,10.4004691369,-0.0366592218
