"date","GDPC96","RecQtr","A939RC0Q052SBEA","GDPDEF","OUTNFB","HOANBS","CPAXTAX","GDI","PCECTPI","OPHNFB","COMPRNFB","dtfp","dtfp_util","fe_surp","D_House","D_Senate","D_Fed","Killian_OPEC","DRIWCIL","R_News","FP_EXRET","RR_EXTAX","ICS","ICC","ICE","UK_g_gdp","UK_Left","FR_g_gdp","Fr_left","CN_g_gdp","cn_left","DE_g_gdp","de_left","oecd_gdp","oecd_gdp_e"
1947-01-01,1932.6,0,1698,12.578,11.788,48.342,9,240.3,13.04,24.384,35.679,,,,0,0,1,,,0,,0,,,,,,,,,,,,,
1947-04-01,1930.412,0,1713,12.757,12.063,48.346,12.6,243.6,13.144,24.951,35.977,0.120831246734848,-0.770260615644383,,0,0,1,,,0.0328905962500478,-0.207285,0,,,,,,,,,,,,,
1947-07-01,1928.448,0,1731,12.97,11.739,48.477,12.8,248,13.389,24.216,36.246,-3.30151018816588,-4.15444848432375,,0,0,1,,,0,0.175457,0,,,,,,,,,,,,,
1947-10-01,1958.807,0,1794,13.289,12.35,48.95,13.2,256.5,13.723,25.23,36.08,3.14513110888021,3.10444679367078,,0,0,1,,,0,-0.015518,0,,,,,,,,,,,,,
1948-01-01,1987.606,0,1826,13.392,12.477,49.262,16.6,265.5,13.875,25.328,36.173,9.55192997195798,11.196198648528,,0,0,1,,,0.00707753581246883,0.254888,0,,,,,,,,,,,,,
1948-04-01,2019.889,0,1865,13.51,12.439,49.236,17.7,274,14.018,25.264,36.093,7.93455974620829,11.7827580752461,,0,0,1,,,0.0134460866325061,-0.045879,-1.870557426,,,,,,,,,,,,,
1948-07-01,2031.179,0,1902,13.76,12.545,49.586,17.3,279.3,14.233,25.299,36.216,-3.60405148599317,2.20214205967755,,0,0,1,,,0,-0.021233,0,,,,,,,,,,,,,
1948-10-01,2033.347,1,1901,13.803,12.478,49.127,19.2,281.5,14.187,25.4,36.905,0.546481698774236,7.15145478241207,,0,0,1,,,0,-0.131193,0,,,,,,,,,,,,,
1949-01-01,2005.563,1,1857,13.73,12.388,48.299,18.7,274.5,14.076,25.648,37.494,-6.07583454351108,-0.497014430661026,,0,0,1,,,0,0.109475,0,,,,,,,,,,,,,
1949-04-01,1998.835,1,1825,13.593,12.309,47.491,17.8,271,13.99,25.918,37.621,-0.481476159970975,2.18636822840704,,1,1,1,,,0,-0.124473,0,,,,,,0.0371900639490812,1,,,,,,
1949-07-01,2020.825,1,1827,13.522,12.472,46.993,18.7,271.2,13.909,26.54,38.018,6.87617207181053,5.43523305348715,,1,1,1,,,0,0.014711,0,,,,,,0.0633031475929964,1,,,,,,
1949-10-01,2002.702,1,1804,13.531,12.356,46.805,15.7,267.6,13.899,26.399,37.986,-2.76109604048155,-8.25124189801064,,1,1,1,,,-0.00747297420364054,0.063776,0,,,,,,0.0540638421558775,1,,,,,,
1950-01-01,2082.538,0,1864,13.503,12.883,47.167,15.3,277.9,13.876,27.313,39.092,16.9418008405858,8.83397926559299,,1,1,1,,,0,0.036019,0.27252907,,,,,,0.10830019117792,1,,,,,,
1950-04-01,2145.515,0,1921,13.551,13.35,48.332,16.5,290.3,13.943,27.622,39.635,8.10564637773123,-0.62376160447929,,1,1,1,,,0.0279792261876255,0.098978,0,,,,,,0.105242428039741,1,,,,,,
1950-07-01,2228.21,0,2029,13.846,14.069,49.856,17.1,307.9,14.235,28.219,39.683,8.07232428327021,1.53371472433054,,1,1,1,,,0.630572659516746,-0.047707,0,,,,,,0.104810519093726,1,,,,,,
1950-10-01,2271.243,0,2097,14.103,14.22,50.316,18.6,319.7,14.488,28.262,39.86,0.545555372992436,-2.15204603871711,,1,1,1,,,0.410685561381991,0.199049,0,,,,,,0.102006542731521,1,,,,,,
1951-01-01,2302.318,0,2194,14.61,14.489,51.162,13,332.9,14.948,28.32,39.231,-2.27941594479691,-1.02485960091289,,1,1,1,,,0.0130853705404164,-0.133745,0,,,,,,0.00412747469122854,1,,,,,,
1951-04-01,2342.254,0,2237,14.706,14.554,51.573,16.6,341,15.068,28.22,39.714,0.663812385578183,4.67122086132375,,1,1,1,,,0,-0.06074,0,,,,,,0.0307544077920927,1,,,,,,
1951-07-01,2390.499,0,2275,14.716,14.74,51.063,19.2,347.2,15.088,28.866,40.18,7.48635968591461,11.7181933126886,,1,1,1,,,0,0.118907,0,,,,,,0.0620992108662739,1,,,,,,
1951-10-01,2395.791,0,2295,14.884,14.782,51.087,18.8,354.3,15.288,28.935,40.352,-0.590278575304649,1.56171347352841,,1,1,1,,,0,-0.038578,0,,,,,,0.0347695039367339,1,,,,,,
1952-01-01,2421.12,0,2308,14.877,14.941,51.416,18.3,356.5,15.353,29.059,40.622,0.0437982254292618,-0.976788538493964,,1,1,1,,,-0.00143709520153855,-0.037479,0,,,,,,0.0576424775685327,1,,,,,,
1952-04-01,2426.174,0,2307,14.896,14.868,51.203,17.6,359,15.35,29.037,40.822,2.28028972273118,-1.34823660974339,,1,1,1,,,-0.0130975723612614,0.118625,0,,,,,,-0.0236776444757036,1,,,,,,
1952-07-01,2443.725,0,2340,15.062,14.916,51.571,17.5,366.4,15.451,28.923,41.044,0.693225113510419,-3.38949795752998,,1,1,1,,,0.00227179169469419,0.025144,0,,,,,,0.0395370046830414,1,,,,,,
1952-10-01,2523.927,0,2412,15.105,15.62,52.952,20,378.7,15.477,29.499,42.019,7.21892426657778,5.29126506913397,,1,1,1,,,0,0.019303,0,,,,,,-0.00553306995610114,1,,,,,,
1953-01-01,2570.898,0,2449,15.11,15.906,53.501,19.9,385.6,15.536,29.73,42.627,5.00903980101528,7.09831820058992,,1,1,1,,,-0.0201959939350299,0.00223099999999998,0,,,,,,0.0508565645755725,1,,,,,,
1953-04-01,2590.964,0,2463,15.14,15.985,53.595,18.9,389,15.56,29.826,42.97,1.42942120687394,7.71382426098933,,0,0,1,,,-0.0116286995967759,-0.003357,0,,,,,,0.0698933471337166,1,,,,,,
1953-07-01,2576.444,1,2449,15.203,15.903,53.06,18.3,388.2,15.644,29.972,43.232,-2.79301922190492,6.04205560200437,,0,0,1,,,-0.0306321209928774,0.077807,0,,,,,,0.0136858700401865,1,,,,,,
1953-10-01,2537.344,1,2405,15.233,15.594,52.225,15.8,381.1,15.712,29.859,43.58,-5.84395125452595,2.67627228895867,,0,0,1,,,-0.00262391993223779,0.073366,0,,,,,,0.0698243074065406,1,,,,,,
1954-01-01,2525.611,1,2391,15.28,15.411,51.523,18.3,383.2,15.791,29.911,43.858,-0.628109567453244,4.71344927732268,,0,0,1,,,0,0.130656,0,,,,,,0.0529508048013165,1,,,,,,
1954-04-01,2528.252,1,2386,15.296,15.404,51.135,19.1,384.2,15.77,30.124,43.977,2.84788178744439,3.29978858946127,,0,0,1,,,0,0.00298199999999993,0,,,,,,0.0707725662514567,1,,,,,,
1954-07-01,2556.931,0,2405,15.315,15.623,50.935,20.1,388.2,15.718,30.673,44.441,4.34968188122039,0.183632397925169,,0,0,1,,,-0.0132990655778626,0.105692,-0.367647059,,,,,,0.0632918965990863,1,,,,,,
1954-10-01,2606.758,0,2447,15.358,16.003,51.573,22.1,397.5,15.703,31.03,45.008,6.23098084108263,-0.762999386711473,,0,0,1,,,0,0.125352,0,,,,,,0.0310610465029777,1,,,,,,
1955-01-01,2681.18,0,2519,15.432,16.573,52.405,25.2,410.3,15.755,31.625,45.261,7.00605049559012,-0.263743215696403,,0,0,1,,,0.0125831034374656,0.159206,0,,,,,,0.0557451395503226,1,,,,,,
1955-04-01,2724.825,0,2560,15.496,16.837,53.087,26.3,420.5,15.771,31.716,45.697,4.75384381133707,-0.512800420957803,,1,1,1,,,0,-0.255224,0,,,,0.2,0,0.057788881319311,1,,,,,,
1955-07-01,2761.467,0,2601,15.605,17.081,53.638,25.6,429,15.834,31.845,46.478,0.245704283689493,-2.17595596999839,,1,1,1,,,0,-0.00742500000000001,0,,,,2.1,0,0.0574281107192451,1,,,,,,
1955-10-01,2778.087,0,2630,15.759,17.235,54.289,26,436.5,15.877,31.747,46.753,-2.04896239871366,-2.00522669616328,,1,1,1,,,0,0.167786,0,,,,-0.6,0,0.046832415407257,1,,,,,,
1956-01-01,2767.37,0,2635,15.917,17.126,54.618,24.7,441.4,15.943,31.356,47.482,-2.02060245511875,-0.75975739659965,,1,1,1,,,0.00211272884976199,-0.128997,0,,,,0.7,0,0.0312258406564478,1,,,,,,
1956-04-01,2790.19,0,2661,16.012,17.241,54.737,24.4,448.5,16.05,31.498,48.081,1.66664299227648,2.90245291279394,,1,1,1,,,0.00140095071457488,-0.00477099999999997,0,,,,-0.2,0,0.0658770265443889,1,,,,,,
1956-07-01,2787.91,0,2680,16.212,17.174,54.518,25.3,454.6,16.207,31.502,48.313,-1.41235930292734,-0.763984466782218,,1,1,1,,,0.00690964376769571,0.136387,0,,,,-0.1,0,0.0509702769494269,1,,,,,,
1956-10-01,2833.517,0,2721,16.279,17.451,54.819,25,464.3,16.303,31.834,48.705,6.63497899776313,7.12670679997204,,1,1,1,,,0.00113845030710631,0.126039,0,,,,0.5,0,0.0601637554932499,1,,,,,,
1957-01-01,2851.778,0,2765,16.501,17.667,54.868,25.8,471.8,16.449,32.199,49.01,0.0823041100995394,1.4277101059973,,1,1,1,,,0,-0.041299,0,,,,2,0,0.0777840383789512,1,,,,,,
1957-04-01,2845.453,0,2766,16.617,17.563,54.752,25.1,474.7,16.553,32.078,49.085,-1.53244506873623,1.41092015620563,,1,1,1,,,0.0052498896850524,-0.133745,0,,,,0,0,0.0264582348862379,1,,,,,,
1957-07-01,2873.169,1,2798,16.717,17.728,54.487,24.7,479.7,16.687,32.536,49.295,1.27592883757242,5.71826505793609,,1,1,1,,,0,-0.020491,0,,,,-0.6,0,0.0639488445081235,1,,,,,,
1957-10-01,2843.718,1,2758,16.727,17.417,53.358,22.8,474.8,16.773,32.642,49.721,-0.314043833394557,4.3207269197392,,1,1,1,,,0.022084863235432,0.165946,0,,,,0.1,0,0.0112626613682427,1,,,,,,
1958-01-01,2770,1,2705,16.908,16.787,52.15,20,469.6,16.978,32.19,49.165,-6.43379725367843,-3.62953713134479,,1,1,1,,,0.00151676981333385,-0.023172,0,,,,1.7,0,0.0541010346547661,1,,,,,,
1958-04-01,2788.278,1,2721,16.956,16.872,51.402,20.8,472.3,17.009,32.823,49.256,2.81512993617293,1.96382078820598,,1,1,1,,,0,-0.025799,0,,,,-2.5,0,0.015786828936651,1,,,,,,
1958-07-01,2852.741,0,2788,17.059,17.392,52.015,22.9,485.6,17.022,33.437,50.432,7.11830103076312,2.22529938631631,,1,1,1,,,0,-0.097487,-0.105999576,,,,2.2,0,-0.00873254408839075,1,,,,,,
1958-10-01,2919.47,0,2854,17.139,17.95,52.791,25.8,498.3,17.018,34.002,50.581,5.31833789146952,-2.51964348619641,,1,1,1,,,0,-0.014849,0,,,,0.1,0,0.00902611979997947,1,,,,,,
1959-01-01,2973.782,0,2903,17.186,18.31,53.813,28.3,511,17.137,34.026,50.99,5.34643363536758,-2.96937756018802,,1,1,1,,,0.00309299298049573,0.0981299999999999,0,,,,1.3,0,0.00447378477374638,1,,,,,,
1959-04-01,3046.096,0,2966,17.21,18.881,54.842,30.8,525.7,17.204,34.428,51.32,4.58041877803578,-1.19161874335298,,1,1,1,,,0,-0.063693,0,,,,1.5,0,0.0536384119037712,0,,,,,,
1959-07-01,3040.235,0,2959,17.275,18.788,54.681,28.3,523.4,17.307,34.359,51.357,-2.21760066689655,-3.53033093832718,,1,1,1,,,0,-0.213388,0,,,,2,0,0.0444167007855349,0,,,,,,
1959-10-01,3052.194,0,2969,17.342,18.758,54.689,28.9,529.1,17.401,34.3,51.541,0.303166924116607,3.86053953390112,,1,1,1,,,0,0.061503,0.116913484,,,,2.4,0,0.109208106743734,0,,,,,,
1960-01-01,3120.195,0,3024,17.414,19.312,55.027,30.4,543.1,17.424,35.096,52.6,8.83402899389214,15.8299578606298,1.868688255794,1,1,1,,,0,-0.065045,0.360599734,100,100.3,105.3,2.4,0,0.087803005606234,0,,,,,,
1960-04-01,3108.361,1,3009,17.459,19.085,55.124,28.6,544.3,17.515,34.622,52.621,-6.98458000961516,0.786658923628305,1.72590348272588,1,1,1,,,0.00550307589398421,0.0775170000000001,0,93.3,92.3,99.3,-1,0,0.106769114165558,0,,,,,1.37260159808566,0.878591346385241
1960-07-01,3116.104,1,3015,17.522,19.031,54.811,28.7,546.2,17.582,34.721,52.909,-1.24580073687014,4.56088317176921,1.69769488080344,1,1,1,,,0,0.112013,0,97.2,97.6,98.2,1.5,0,0.0675292323977739,0,,,,,1.48019553812072,1.30563601678319
1960-10-01,3078.384,1,2974,17.576,18.625,54.302,27.3,544.9,17.661,34.299,52.803,-3.41022754534595,-1.31267708462449,1.57365987475576,1,1,1,,,0,0.020938,0,90.1,90,94.1,0.6,0,0.0436256223255043,0,,,,,1.7071202333201,1.07318520475277
1961-01-01,3099.314,1,2989,17.615,18.758,53.997,26.2,547.3,17.694,34.739,53.158,1.80409312057973,0.0973917067084198,1.86843910931447,1,1,1,,,0.0147048320077978,0.031915,0,91.6,93.9,95.6,1.7,0,0.0525025128737964,0,,,,,1.56950892855872,1.35072822563464
1961-04-01,3156.922,0,3040,17.657,19.249,53.872,29.2,557.9,17.692,35.731,53.919,10.5157896877814,6.50353182594658,1.35520417463612,1,1,1,,,0.0589046871912328,0.0140899999999999,0,92.5,91.6,98.8,0.5,0,0.022768734288229,0,11.1005850686098,0,,,1.15173497586337,1.19634286968051
1961-07-01,3209.561,0,3086,17.704,19.628,54.188,30.5,568.3,17.757,36.222,54.11,3.59349670539656,-0.577034514898103,1.46521931971319,1,1,1,,,0.00649285166713057,-0.116857,0,99.2,100.9,99.2,-0.5,0,0.0380600813846792,0,9.43725086400356,0,,,1.25744719564246,1.53365473655473
1961-10-01,3274.61,0,3146,17.762,20.065,54.877,33,583.7,17.777,36.564,54.427,4.68676161239408,2.25666210784871,1.38167769329949,1,1,1,,,-0.00182002488458144,-0.138312,0,93,94.7,97.5,-0.1,0,0.0708567232319064,0,5.34138929238215,0,,,0.69895625405211,0.528770257106978
1962-01-01,3333.591,0,3208,17.854,20.473,55.078,35.3,593.7,17.855,37.171,55.081,1.62972356950268,1.80044816973816,0.627755492637992,1,1,1,,,0.00355511488563505,0.058562,0,99.9,101.5,104.1,0.6,0,0.0929997895758672,0,9.57986260536314,0,,,0.350285167413138,-0.674446988400592
1962-04-01,3369.51,0,3236,17.883,20.682,55.735,35.2,601.3,17.918,37.108,55.241,1.38017504641209,3.71954232116543,0.550119632204318,1,1,1,,,0,0.045517,0,95.4,94.9,97.2,1,0,0.0639255991403396,0,2.64219286218332,0,,,2.41950973437687,3.60266946816056
1962-07-01,3401.609,0,3261,17.92,20.909,55.619,36.2,608.7,17.964,37.593,55.469,3.73906743461711,6.97166415414962,0.694756539347896,1,1,1,,,0,0.074515,-0.228813559,91.6,96.3,94.1,0.7,0,0.0799450399729771,0,5.73696872856326,0,,,2.12336121304881,2.14804166511905
1962-10-01,3414.802,0,3267,17.955,20.952,55.265,38,617.1,18.018,37.912,55.845,3.77560784208709,6.44708889964811,0.769462416167371,1,1,1,,,0,-0.033903,-0.151693915,95,96.2,99.9,-0.4,0,0.0416691002779956,0,9.03226411882914,0,,,1.32182626601323,1.22145749197371
1963-01-01,3452.806,0,3307,18.034,21.149,55.601,38.5,625,18.069,38.037,56.218,0.923288439186784,2.09014344057358,1.02288171767791,1,1,1,,,0,-0.111661,0.431606906,98.4,103.9,100.6,0.2,0,-0.0220894007754044,0,2.2206813475379,0,,,1.86038383198935,1.3661586693532
1963-04-01,3497.818,0,3345,18.064,21.498,55.952,40,635.2,18.095,38.422,56.398,3.21786517293712,2.79817747488296,1.28794883365124,1,1,1,,,0,-0.0436869999999999,0,91.7,95,94.8,4.3,0,0.171011040152532,0,5.20346575038999,1,,,1.26091435970682,1.04864932505648
1963-07-01,3566.096,0,3401,18.086,22.015,56.104,40.6,644.6,18.181,39.24,56.629,5.98408238165913,4.5782201124156,0.918284347345541,1,1,1,,,-0.0116171186004777,-0.130214,0,96.4,103,97.7,0.5,0,0.131307051953811,0,2.96576449732024,1,,,1.12398342626622,0.800962844435669
1963-10-01,3591.546,0,3440,18.233,22.185,56.539,41.1,655.5,18.248,39.238,57.126,0.621911260998839,-0.904985797097589,0.786160200466284,1,1,1,,,0,-0.00459600000000004,0,94.4,98.3,97.7,2.3,0,0.000953705475676303,0,13.979885133002,1,,,0.820752328319127,1.03698573560639
1964-01-01,3669.226,0,3515,18.291,22.8,57.589,44.6,668.6,18.336,39.591,56.849,4.19799401280104,3.15850619197026,-0.0567574970767647,1,1,1,,,-0.00726177438148168,0.00368299999999999,0,99.5,100.2,100.1,1,0,0.0880737083830254,0,9.379263578845,1,,,1.66739565044607,1.08872779902235
1964-04-01,3712.856,0,3554,18.335,23.055,57.84,44.9,680,18.378,39.86,57.386,1.75534324050349,1.25428584652633,-0.842865241646471,1,1,1,,,0,-0.0627439999999999,-1.275045537,98.5,100.6,97.9,1.6,0,0.0365763231267859,0,0.920489482958153,1,,,1.2511410346163,1.14650199199567
1964-07-01,3763.277,0,3604,18.41,23.378,58.211,45.4,692.4,18.44,40.161,58.011,3.2296846355238,2.85071366749303,-0.341321084945739,1,1,1,,,0,0.128578,0,100.6,100.8,99.8,0.3,0,0.04316495020809,0,4.65659414726181,1,,,1.54329605659382,1.06293020650357
1964-10-01,3776.627,0,3620,18.493,23.393,58.776,45.4,702.2,18.502,39.8,58.17,-0.690966690919238,-1.52117681405065,0.0654587558745339,1,1,1,,,0,-0.00835700000000006,0,99.9,100.9,101.8,1.6,0,0.0538285378520391,0,2.78081317787033,1,,,1.73516681485993,1.22279404763311
1965-01-01,3869.782,0,3718,18.586,24.112,59.694,51.5,721.5,18.562,40.392,58.222,6.58517667387768,4.97614554862414,0.324942635801643,1,1,1,,,0.00325628822188561,0.0530280000000001,-0.64683053,102,101.1,103.7,-0.1,1,0.0216101771840345,0,12.5327262221322,1,,,1.65684883513445,0.822175512335512
1965-04-01,3922.689,0,3775,18.67,24.496,60.286,52.6,734.1,18.655,40.633,58.242,0.412168532156735,-1.81931831753466,0.0535172861760227,1,1,1,,,0.00201245267478556,0.0413629999999999,0,105.4,109.7,103.8,0.3,1,0.0684437208083488,0,3.82089799350438,1,,,1.23495410957231,1.4070300474719
1965-07-01,4002.358,0,3854,18.744,24.994,60.428,53.6,747.3,18.724,41.362,58.681,5.84176695801449,3.58520087655133,-1.22474245650867,1,1,1,,,0.0197696501648705,0.155701,-0.241312741,103.4,103.6,105,1,1,0.0645733544010265,0,5.93895239494449,1,,,0.988124047034556,0.93730115101067
1965-10-01,4096.741,0,3959,18.871,25.689,61,56.4,768.9,18.781,42.113,59.239,5.48503698732403,3.95424575708287,-1.74338376286095,1,1,1,,,0,0.117702,0,102.9,100.7,105.5,0.8,1,0.0655536660771767,0,10.8297671316748,1,,,0.646671244310923,0.125964947783562
1966-01-01,4197.921,0,4073,18.993,26.424,61.881,58.9,790.8,18.927,42.701,59.704,5.97572350390461,5.72681565032553,-1.41153055960367,1,1,1,,,0,0.0656199999999999,-0.227036845,100,100.7,100.7,0.3,1,0.0260531372482946,0,7.54945879828155,1,,,1.1060590893146,0.984876583869121
1966-04-01,4215.116,0,4112,19.149,26.522,62.488,57.7,802.6,19.083,42.443,60.11,-2.57243282050339,-1.41387652537803,-1.49301656707764,1,1,1,,,0.001297436557545,0.03003,0.11539941,95.7,96.4,96.7,0.7,1,0.0707748444968583,0,7.99436458330443,1,,,0.749984896002961,0.874865103004475
1966-07-01,4245.17,0,4169,19.335,26.687,62.78,56.4,816,19.229,42.509,60.447,-1.22778358659048,0.991498123349662,-1.69301050728924,1,1,1,,,0.0141037329223075,-0.041202,0,91.2,92.7,91.4,0.5,1,0.0565857045096607,0,-0.0643320399902225,1,,,1.25252439975493,1.16829789775185
1966-10-01,4281.583,0,4228,19.499,26.797,62.611,57.9,830.2,19.379,42.799,60.769,0.912261977771324,3.56444636537365,-1.96036563022446,1,1,1,,,0.0274857417714561,0.0885640000000001,0,88.3,85.8,90.9,-0.3,1,0.0247265954191815,0,5.04726223450114,1,,,1.01973427139321,1.02745082674838
1967-01-01,4320.947,0,4274,19.58,26.993,62.541,56.2,838.5,19.435,43.161,61.434,0.397414694542821,2.82950804110681,-2.9160347382874,1,1,1,,,0.0480828636079558,-0.00983899999999993,0,94.1,91.1,97.1,1.4,1,0.0634125634470737,0,-1.59389527973496,1,,,1.83033067033391,1.74837557031176
1967-04-01,4324.696,0,4288,19.679,26.938,62.158,55.5,847.4,19.528,43.338,62.055,1.65780964548213,3.37975474655798,-2.67561651969883,1,1,1,,,0.00733702231967679,0.141748,0,95.9,99.1,95,1.3,1,0.0468782594858088,0,8.59782474044217,1,,,1.11051336479611,-0.164287772940514
1967-07-01,4362.001,0,4355,19.867,27.136,62.362,55.7,864.5,19.708,43.514,62.272,0.0985090721111333,0.919987909909861,-2.34588107946106,1,1,1,,,0.00462127151284282,-0.143068,-0.191136065,97,100.2,96.2,0.3,1,0.0500563401957137,0,2.03880275864516,1,,,1.97099673457392,3.12187342917038
1967-10-01,4397.108,0,4425,20.086,27.357,62.646,57.4,882.8,19.877,43.669,62.433,0.988659946972526,0.922758254624338,-2.27654720991047,1,1,1,,,-0.0119475965273952,0.00497000000000014,0,92.9,96.3,91.8,0.3,1,0.035850595762696,0,1.29872453741466,1,,,1.57171923977614,1.59689960615761
1968-01-01,4486.382,0,4556,20.309,28.018,62.757,54.2,906.1,20.087,44.645,63.487,6.21569247988229,5.40264354094144,-2.19837214090168,1,1,1,,,0.00586360397777887,-0.0789060000000001,0,97.2,102.3,95,3.3,1,0.113857018128114,0,2.53401329087859,1,,,1.31428540602555,1.27070761755045
1968-04-01,4562.157,0,4671,20.523,28.557,63.359,57.1,929.6,20.291,45.071,63.895,3.25220950811122,1.89150869474432,-2.59709525387268,1,1,1,,,-0.0264840490323638,-0.0619889999999998,0,92.4,97.1,90.6,-0.6,1,-0.197855797388342,0,11.3118569843877,1,,,1.15869876121684,1.48704486547181
1968-07-01,4594.968,0,4738,20.726,28.748,63.802,57.3,951,20.501,45.058,64.075,1.16467367841128,-0.439852104666346,-1.59454782383092,1,1,1,,,0,-0.06164,0,92.4,97.5,90.3,2,1,0.355355646167533,0,6.17780840624504,1,,,1.24259780134832,1.47550144151822
1968-10-01,4615.388,0,4814,21.019,28.875,64.196,57.4,970.4,20.729,44.979,64.551,-0.938291491790785,-2.40017373156849,-1.38685087867383,1,1,1,,,0,0.0155149999999999,0,91.7,92.6,92.3,0.4,1,0.0560799617518508,0,5.85186498693262,1,,,0.685901708466366,0.679551158873054
1969-01-01,4687.098,0,4929,21.237,29.368,64.797,55.8,989.8,20.933,45.323,64.64,-0.463454249533887,-1.31120526234135,-0.33041938987563,1,1,1,,,0,-0.0814589999999999,0,98.2,99,98.7,0.1,1,0.0348941668983147,0,4.80687787061536,1,,,0.822025050597192,1.01503535989166
1969-04-01,4702.124,0,4996,21.509,29.402,65.398,53.5,1009.4,21.201,44.959,64.665,-0.990977272414601,-0.802146217223352,-0.439564713784905,1,1,1,,,0,-0.147199,0,91.5,92.9,91.8,0.9,1,0.089707779668726,0,1.77301711470728,1,,,1.17406468548889,1.99964490644192
1969-07-01,4731.549,0,5084,21.811,29.561,65.711,51.5,1031.2,21.461,44.986,64.931,-0.170227250108512,1.31090957158663,-0.878055120812853,1,1,1,,,0,-0.117418,0,86.4,86.9,87.3,0.7,1,0.0555650939880279,0,4.51388019054226,1,,,1.32821722226019,1.46678697584021
1969-10-01,4710.954,1,5112,22.092,29.347,65.511,46.6,1042.6,21.71,44.797,65.188,-2.76914413458329,-0.150300120174677,-0.755402875279022,1,1,1,,,0,-0.054179,0,79.7,80.6,80.3,0.6,1,0.0594255625401345,0,6.3408958311534,1,,,0.0141075945159591,0.84795541848504
1970-01-01,4702.809,1,5162,22.402,29.311,65.253,43,1049.8,21.961,44.919,65.32,-2.20584218792678,0.962115622069853,-0.850243945945372,1,1,0,,-19,-0.00497781747146951,-0.128529,0,78.1,82.3,76.5,-0.8,1,0.0705494348580413,0,2.41105191233641,1,,,0.879197240422832,-0.45927879017993
1970-04-01,4711.143,1,5227,22.714,29.365,64.393,46.4,1064.4,22.205,45.603,65.444,1.55252010609736,4.30503832182757,-1.85485675460167,1,1,0,,5,-0.00294961748057764,-0.152245,0,75.4,82.6,71.9,2.3,1,0.0597990269212521,0,0.400641676246272,1,3.97581531696591,1,1.17654684865658,1.49972069887638
1970-07-01,4752.805,1,5299,22.901,29.664,64.066,45.4,1082,22.421,46.302,65.837,4.52359901887114,6.13374304084247,-2.0215719794144,1,1,0,,0,0,0.136451,0,77.6,81.3,76.4,0.9,1,0.0460927700415361,0,3.61022640554964,1,1.86784140969164,1,1.30360810637442,1.55678951005185
1970-10-01,4703.912,1,5295,23.203,29.186,63.577,42.7,1086,22.712,45.906,65.539,-4.16520426345944,-4.17998202816104,-1.70757219816785,1,1,0,,27,0,-0.058553,0,72.4,74.7,72,0.7,0,0.0523404296644203,0,1.00733428544937,1,0.847604220723056,1,0.517230706443934,0.452062308469523
